Tech #,Technology,Technology subcategory,Technology type,Units,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Portugal,198197.0,196487.37574340933,194774.21152004073,193057.5,194191.01034884155,195331.17594656456,196478.03586854023,197631.62941956543,198791.99613520972,199959.17578317018,201133.2083646345,202314.13411565177,203501.99350851146,204696.82725313044,205898.6762984483,207107.58183383057,208323.58529048052,209546.72834285884,210777.05291011222,212014.6011575097,213259.4154978878,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Romania,638141.5,634607.1566346384,631065.495019055,627516.5,625043.3645238886,622579.9760410166,620126.2961370402,617682.2865490117,615247.9091647835,612823.1260224138,610407.8993095744,608002.1913629607,605605.9646677054,603219.1818567922,600841.8057104741,598473.7991556928,596115.1252655,593765.7472584824,591425.6284981872,589094.7324925516,586773.0228933336,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Slovakia,93132.5,92225.87855601948,91317.37985171145,90407.0,89952.47521646555,89500.2355743344,89050.26958496733,88602.5658174848,88157.11289847644,87713.89951171211,87272.9143978545,86834.14635417308,86397.58423425947,85963.21694774431,85531.03346001549,85101.02279193788,84673.17401957439,84247.47627390844,83823.91874056785,83402.49065955017,82983.18132494923,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Slovenia,24172.0,24175.953554196414,24179.907755033186,24183.86260261608,24187.81809705088,24191.77423844338,24195.731026899404,24199.688462524784,24203.646545425363,24207.605275707014,24211.564653475623,24215.524678837093,24219.48535189734,24223.446672762304,24227.40864153794,24231.37125833021,24235.33452324512,24239.298436388664,24243.26299786687,24247.22820778578,24251.194066251453,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Spain,1195684.0,1196491.9445844805,1197300.435111243,1198109.4719491906,1198919.0554674747,1199729.186035497,1200539.864022909,1201351.089799611,1202162.863735754,1202975.1862017391,1203788.0575682174,1204601.4782060904,1205415.4484865104,1206229.9687808806,1207045.0394608548,1207860.6608983388,1208676.8334654884,1209493.557534712,1210310.8334786687,1211128.6616702704,1211947.0424826804,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Sweden,150290.5,149810.49109013609,149330.15782985915,148849.5,148558.06310770081,148267.1968284181,147976.90004493154,147687.1716422082,147398.0105073985,147109.41552983152,146821.38560101105,146533.91961461122,146247.01646647233,145960.67505459648,145674.8942791434,145389.67304242626,145105.01024890746,144820.9048051943,144537.3556200349,144254.36160431404,143971.9216710488,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,The Netherlands,90895.0,90698.96582688764,90502.79919005699,90306.5,90101.87344640613,89897.71055851113,89694.01028568948,89490.77157969629,89287.99339466187,89085.67468708643,88883.8144158346,88682.41154213015,88481.46502955066,88280.97384402211,88080.93695381362,87881.35332953211,87682.22194411702,87483.54177283501,87285.31179327473,87087.53098534147,86890.198331252,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,Non-EU Europe,Non-EU Europe,14960326.64396578,14954362.506164938,14951747.980545698,14949147.085755462,14946559.897619182,14943986.482663805,14941426.896710336,14938881.18359194,14936349.37398962,14933831.484377183,14931327.516067266,14928837.454350479,14926361.267719977,14923898.907174228,14921450.305590937,14919015.37716567,14916594.016908983,14914186.10019638,14911791.482365765,14909409.998357425,14907041.462392092,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,North America,North America,23156333.623285696,23150178.860133067,23138659.742309198,23127146.189687997,23115638.200843457,23104135.773208413,23092638.90293785,23081147.584790975,23069661.81203057,23058181.576338194,23046706.86774376,23035237.67456821,23023773.983378008,23012315.77895029,23000863.044247527,22989415.760400783,22977973.906700462,22966537.460593853,22955106.39768857,22943680.69176119,22932260.314770415,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,Latin America,Latin America,33123846.918101806,33119397.234862376,33076306.81303589,33033289.61755838,32990345.626069732,32947474.80521609,32904677.109039485,32861952.477521867,32819300.835272893,32776722.090351034,32734216.133207906,32691782.83574571,32649422.050478604,32607133.609788645,32564917.325268146,32522772.987140015,32480700.363748923,32438699.201116093,32396769.222551264,32354910.12831588,32313121.59533198,market_potential
